UWI	HorID	PICK	MD	Quality
00/13-03-067-05W4/0	1000	mannville	336	1
00/13-03-067-05W4/0	5000	t31	446	1
00/13-03-067-05W4/0	7000	t21	479	1
00/13-03-067-05W4/0	10000	t11	483	1
00/13-03-067-05W4/0	11000	t10.5	487	2
00/13-03-067-05W4/0	12000	e10	487	2
00/13-03-067-05W4/0	13000	mcmurray	487	2
00/13-03-067-05W4/0	14000	paleozoic	543.5	1
00/06-30-071-06W4/0	1000	mannville	309	1
00/06-30-071-06W4/0	5000	t31	424	1
00/06-30-071-06W4/0	7000	t21	437	1
00/06-30-071-06W4/0	9000	t15	440	2
00/06-30-071-06W4/0	9500	e14	447	2
00/06-30-071-06W4/0	10000	t11	449	2
00/06-30-071-06W4/0	11000	t10.5	460	1
00/06-30-071-06W4/0	12000	e10	460	1
00/06-30-071-06W4/0	13000	mcmurray	460	1
00/06-30-071-06W4/0	14000	paleozoic	517	1
00/11-32-073-06W4/0	1000	mannville	263	1
00/11-32-073-06W4/0	5000	t31	382	1
00/11-32-073-06W4/0	7000	t21	397	1
00/11-32-073-06W4/0	9000	t15	398.5	3
00/11-32-073-06W4/0	9500	e14	430	1
00/11-32-073-06W4/0	13000	mcmurray	430	1
00/11-32-073-06W4/0	14000	paleozoic	471	1
00/07-11-074-01W5/0	1000	mannville	440.44	1
00/07-11-074-01W5/0	4000	t41	577.9	1
00/07-11-074-01W5/0	5000	t31	617.52	2
00/07-11-074-01W5/0	7000	t21	630.33	1
00/07-11-074-01W5/0	9000	t15	637.03	1
00/07-11-074-01W5/0	9500	e14	637.03	1
00/07-11-074-01W5/0	10000	t11	646.79	2
00/07-11-074-01W5/0	11000	t10.5	649.22	2
00/07-11-074-01W5/0	12000	e10	649.22	2
00/07-11-074-01W5/0	13000	mcmurray	649.22	2
00/07-11-074-01W5/0	14000	paleozoic	670.56	1
00/11-15-075-25W4/0	1000	mannville	432.82	1
00/11-15-075-25W4/0	4000	t41	563.88	1
00/11-15-075-25W4/0	5000	t31	599.85	1
00/11-15-075-25W4/0	7000	t21	611.43	1
00/11-15-075-25W4/0	9000	t15	612.95	2
00/11-15-075-25W4/0	9500	e14	612.95	2
00/11-15-075-25W4/0	10000	t11	621.79	2
00/11-15-075-25W4/0	11000	t10.5	629.11	3
00/11-15-075-25W4/0	12000	e10	629.11	3
00/11-15-075-25W4/0	13000	mcmurray	629.11	3
00/11-15-075-25W4/0	14000	paleozoic	632.46	4
00/06-26-078-19W4/0	1000	mannville	194.5	1
00/06-26-078-19W4/0	4000	t41	323	1
00/06-26-078-19W4/0	5000	t31	351	1
00/06-26-078-19W4/0	7000	t21	364	1
00/06-26-078-19W4/0	9000	t15	368	1
00/06-26-078-19W4/0	9500	e14	368	1
00/06-26-078-19W4/0	10000	t11	370.5	1
00/06-26-078-19W4/0	11000	t10.5	374	3
00/06-26-078-19W4/0	12000	e10	374	3
00/06-26-078-19W4/0	13000	mcmurray	374	3
00/06-26-078-19W4/0	14000	paleozoic	389	2
00/11-26-078-01W5/0	1000	mannville	288.5	1
00/11-26-078-01W5/0	4000	t41	443	1
00/11-26-078-01W5/0	5000	t31	472.5	1
00/11-26-078-01W5/0	6000	clw_wab	475.5	1
00/11-26-078-01W5/0	9000	t15	486	1
00/11-26-078-01W5/0	9500	e14	486	1
00/11-26-078-01W5/0	10000	t11	494.5	1
00/11-26-078-01W5/0	11000	t10.5	496	1
00/11-26-078-01W5/0	12000	e10	496	1
00/11-26-078-01W5/0	13000	mcmurray	496	1
00/11-26-078-01W5/0	14000	paleozoic	533	4
00/03-32-080-07W4/0	1000	mannville	200	1
00/03-32-080-07W4/0	5000	t31	337	1
00/03-32-080-07W4/0	7000	t21	348	1
00/03-32-080-07W4/0	9000	t15	354	3
00/03-32-080-07W4/0	9500	e14	354	3
00/03-32-080-07W4/0	10000	t11	355	2
00/03-32-080-07W4/0	11000	t10.5	357	1
00/03-32-080-07W4/0	12000	e10	361.9	1
00/03-32-080-07W4/0	13000	mcmurray	361.9	1
00/03-32-080-07W4/0	14000	paleozoic	420.5	1
00/11-28-080-17W4/0	1000	mannville	138.07	1
00/11-28-080-17W4/0	5000	t31	294.44	1
00/11-28-080-17W4/0	7000	t21	305.41	1
00/11-28-080-17W4/0	9000	t15	310.29	1
00/11-28-080-17W4/0	9500	e14	310.29	1
00/11-28-080-17W4/0	10000	t11	312.42	1
