UWI	lat	long
00/10-02-074-05W4/0	55.382806	-110.657027
00/11-26-078-01W5/0	55.790311	-114.043793
00/05-24-080-23W4/0	55.946107	-113.473612
00/07-04-085-23W4/0	56.339105	-113.571226
AA/04-08-089-07W400	56.698897	-111.091864
AA/04-17-092-12W400	56.975498	-111.906879
00/11-07-093-18W400	57.055255	-112.893473
AA/05-01-096-11W400	57.299042	-111.655238
02/16-11-072-04W5/0	55.226725	-114.492427
00/07-11-074-01W5/0	55.39405	-114.03727
00/11-15-075-25W4/0	55.499082	-113.79987
00/06-26-078-19W4/0	55.786341	-112.842408
00/11-28-080-17W4/0	55.964419	-112.605897
00/06-25-082-15W400	56.135313	-112.214352
AA/04-24-084-12W400	56.291762	-111.766901
AA/10-29-086-09W400	56.488133	-111.385326
AD/05-15-088-08W400	56.629919	-111.198275
00/13-03-067-05W4/0	54.77509	-110.688675
00/05-14-069-05W4/0	54.971501	-110.663184
00/06-30-071-06W4/0	55.175579	-110.919978
00/11-32-073-06W4/0	55.36819	-110.894336
00/07-13-077-06W4/0	55.669992	-110.791725
00/03-32-080-07W4/0	55.971678	-111.065822
AA/10-29-086-09W400	56.488133	-111.385326
AA/09-28-090-10W400	56.837106	-111.523995
AA/09-02-094-12W400	57.128092	-111.80655
AA/07-29-099-12W400	57.618926	-111.931153
AA/06-35-101-14W400	57.807817	-112.184139
